,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Me Too - Kevin Gates,0.726,0.605,7,-5.002,1,0.296,0.152,0,0.642,0.36,139.233,audio_features,3yXFcbGxFn2au5q3pShkAe,spotify:track:3yXFcbGxFn2au5q3pShkAe,https://api.spotify.com/v1/tracks/3yXFcbGxFn2au5q3pShkAe,https://api.spotify.com/v1/audio-analysis/3yXFcbGxFn2au5q3pShkAe,202301,4
Old Town Road - Lil Nas X,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,audio_features,2YpeDb67231RjR0MgVLzsG,spotify:track:2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/audio-analysis/2YpeDb67231RjR0MgVLzsG,157067,4
Savage - Megan Thee Stallion,0.843,0.741,11,-5.609,1,0.334,0.0252,0,0.096,0.68,168.983,audio_features,55CHeLEfn5iJ0IIkgaa4si,spotify:track:55CHeLEfn5iJ0IIkgaa4si,https://api.spotify.com/v1/tracks/55CHeLEfn5iJ0IIkgaa4si,https://api.spotify.com/v1/audio-analysis/55CHeLEfn5iJ0IIkgaa4si,155497,4
"ROCKSTAR - DaBaby, Roddy Rich",0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,audio_features,7ytR5pFWmSjzHJIeQkgog4,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,181733,4
Stuck In The Middle - Tai Verdes,0.871,0.501,9,-8.904,1,0.0466,0.371,0,0.0939,0.848,119.953,audio_features,4y3BUo2hp0MxylfbUaqRyJ,spotify:track:4y3BUo2hp0MxylfbUaqRyJ,https://api.spotify.com/v1/tracks/4y3BUo2hp0MxylfbUaqRyJ,https://api.spotify.com/v1/audio-analysis/4y3BUo2hp0MxylfbUaqRyJ,196000,4
